date,open,high,low,close
1617932760000,58102.14,58116.64,58064.61,58064.61
1617932820000,58064.62,58066.85,58025.27,58025.27
1617932880000,58025.14,58025.14,57983.57,57993.38
1617932940000,57993.38,58020.0,57968.11,58014.48
1617933000000,58014.47,58075.0,58014.47,58058.26
1617933060000,58058.27,58070.61,58002.08,58017.86
1617933120000,58017.85,58045.24,58012.01,58040.8
1617933180000,58040.8,58068.75,58037.4,58051.7
1617933240000,58051.69,58076.55,58029.02,58031.72
1617933300000,58031.71,58035.98,58012.01,58022.65
1617933360000,58022.65,58022.66,57991.61,57991.61
1617933420000,57991.61,57993.24,57968.92,57968.93
1617933480000,57968.92,58014.5,57933.56,57981.27
1617933540000,57981.27,57987.97,57939.9,57978.35
1617933600000,57978.34,57978.35,57930.23,57949.99
1617933660000,57949.99,58000.02,57936.92,57987.07
1617933720000,57987.07,58020.62,57983.23,58000.0
1617933780000,57999.47,58000.0,57987.27,57995.68
1617933840000,57995.69,58066.13,57994.24,58061.41
1617933900000,58061.42,58091.58,58050.24,58075.66
1617933960000,58075.66,58083.01,58040.86,58063.68
1617934020000,58064.79,58092.52,58064.79,58077.4
1617934080000,58077.41,58094.06,58048.66,58058.53
1617934140000,58059.69,58059.69,58029.95,58031.63
1617934200000,58031.63,58064.49,58031.62,58053.99
1617934260000,58050.01,58052.32,57994.91,58024.45
1617934320000,58024.45,58038.98,58009.32,58023.86
1617934380000,58023.86,58030.23,57994.92,57998.59
1617934440000,57998.58,58026.32,57990.47,58025.83
1617934500000,58025.82,58057.61,57991.21,58057.6
1617934560000,58057.6,58058.11,58030.23,58048.63
1617934620000,58048.64,58066.29,58044.21,58059.25
1617934680000,58059.25,58062.99,58056.59,58058.15
1617934740000,58058.16,58117.06,58057.22,58107.62
1617934800000,58105.77,58110.86,58072.44,58090.11
1617934860000,58094.63,58121.88,58090.4,58108.82
1617934920000,58108.82,58133.99,58079.2,58089.84
1617934980000,58089.84,58103.99,58050.0,58060.49
1617935040000,58060.49,58086.0,58034.43,58054.0
1617935100000,58054.0,58080.19,58035.77,58072.12
1617935160000,58072.13,58085.23,58057.79,58066.61
1617935220000,58066.61,58084.21,58063.72,58068.8
1617935280000,58068.8,58068.8,58043.91,58044.63
1617935340000,58044.63,58068.78,58040.05,58053.12
1617935400000,58053.13,58061.27,58024.46,58037.26
1617935460000,58037.26,58037.27,58001.0,58002.48
1617935520000,58002.47,58005.29,57992.54,58001.22
1617935580000,58001.22,58040.55,57997.18,58019.91
1617935640000,58019.91,58039.99,58019.9,58028.17
1617935700000,58028.18,58069.55,58028.17,58061.36
1617935760000,58061.36,58097.22,58057.15,58097.22
1617935820000,58097.21,58177.02,58092.54,58177.01
1617935880000,58177.02,58177.02,58134.52,58134.53
1617935940000,58134.52,58175.66,58121.0,58150.32
1617936000000,58150.33,58150.33,58106.42,58106.43
1617936060000,58106.43,58109.35,58089.36,58097.22
1617936120000,58097.23,58121.29,58094.58,58106.5
1617936180000,58106.5,58113.88,58088.98,58101.11
1617936240000,58101.12,58105.28,58093.18,58102.57
1617936300000,58102.58,58102.58,58064.1,58069.95
1617936360000,58069.95,58082.57,58018.05,58021.0
1617936420000,58020.99,58053.58,58020.99,58034.32
1617936480000,58034.31,58052.44,58013.0,58021.9
1617936540000,58021.9,58025.0,58021.44,58023.56
1617936600000,58023.56,58045.47,58023.55,58036.55
1617936660000,58036.55,58040.0,58023.55,58023.55
1617936720000,58023.55,58027.5,58000.0,58002.32
1617936780000,58002.32,58032.76,58000.0,58031.21
1617936840000,58031.2,58034.0,58016.29,58030.25
1617936900000,58030.24,58032.75,57938.93,57950.15
1617936960000,57950.15,57961.39,57947.75,57947.75
1617937020000,57950.0,57953.99,57856.94,57861.64
1617937080000,57861.64,57891.52,57850.0,57866.64
1617937140000,57866.64,57912.0,57856.51,57903.35
1617937200000,57903.35,57910.21,57856.5,57866.09
1617937260000,57866.1,57881.31,57806.03,57831.45
1617937320000,57831.44,57905.57,57824.03,57892.14
1617937380000,57892.13,57930.0,57853.35,57930.0
1617937440000,57929.99,57934.85,57913.74,57928.68
1617937500000,57928.67,57956.99,57928.67,57948.87
1617937560000,57948.87,57964.83,57895.56,57913.21
1617937620000,57913.2,57923.5,57900.58,57917.36
1617937680000,57917.36,57964.99,57917.36,57959.64
1617937740000,57959.64,57959.65,57946.19,57955.8
1617937800000,57955.81,57982.45,57952.58,57978.03
1617937860000,57978.04,57998.0,57978.0,57997.98
1617937920000,57997.98,58000.0,57974.47,57999.95
1617937980000,57999.94,57999.95,57977.0,57981.88
1617938040000,57981.88,57996.45,57980.0,57991.72
1617938100000,57991.72,57996.2,57981.87,57981.87
1617938160000,57981.87,57990.06,57942.74,57963.29
1617938220000,57963.28,58000.0,57963.28,57999.99
1617938280000,58000.0,58000.0,57991.42,57999.99
1617938340000,57999.99,58047.46,57991.75,58034.0
1617938400000,58034.0,58043.63,58020.0,58020.0
1617938460000,58020.0,58033.83,58008.28,58020.15
1617938520000,58021.17,58026.14,58001.62,58005.23
1617938580000,58005.23,58080.9,58005.23,58073.88
1617938640000,58073.88,58083.79,58050.26,58075.47
1617938700000,58075.47,58076.37,58052.55,58065.0
1617938760000,58065.01,58080.0,58039.53,58039.53
1617938820000,58039.53,58053.79,58035.0,58042.86
1617938880000,58042.86,58064.66,58042.86,58049.51
1617938940000,58049.51,58049.51,58035.0,58043.3
1617939000000,58043.31,58045.0,58010.0,58010.01
1617939060000,58010.0,58042.67,57985.14,58003.34
1617939120000,58003.33,58003.34,57995.23,57998.1
1617939180000,57998.11,57999.24,57995.68,57995.69
1617939240000,57995.69,58014.62,57995.68,57995.69
1617939300000,57995.69,57995.69,57935.1,57935.11
1617939360000,57935.1,57946.46,57925.67,57929.15
1617939420000,57929.15,57938.89,57913.39,57927.56
1617939480000,57927.57,58008.98,57918.7,58008.98
1617939540000,58008.99,58020.0,58000.0,58020.0
1617939600000,58019.99,58059.69,58018.57,58057.66
1617939660000,58057.66,58122.38,58057.65,58122.38
1617939720000,58122.38,58167.74,58104.93,58161.88
1617939780000,58161.87,58166.42,58145.85,58166.13
1617939840000,58166.13,58167.76,58154.72,58163.16
1617939900000,58163.16,58166.36,58123.75,58125.44
1617939960000,58125.44,58125.79,58100.0,58117.54
1617940020000,58117.53,58118.0,58109.06,58109.07
1617940080000,58109.07,58109.16,58088.5,58095.0
1617940140000,58094.99,58094.99,58031.45,58037.2
1617940200000,58037.2,58039.42,58024.13,58032.98
1617940260000,58032.98,58097.28,58032.98,58085.87
1617940320000,58086.05,58127.9,58082.28,58125.43
1617940380000,58123.18,58123.18,58025.2,58025.86
1617940440000,58025.86,58036.27,57972.96,57989.18
1617940500000,57989.18,58017.26,57970.32,57971.6
1617940560000,57971.61,57993.46,57966.07,57972.98
1617940620000,57972.98,57993.0,57972.97,57992.99
1617940680000,57992.99,58026.9,57984.08,58015.87
1617940740000,58015.88,58015.88,57980.0,57985.71
1617940800000,57985.71,58044.5,57971.06,58044.5
1617940860000,58044.5,58087.59,58008.34,58018.27
1617940920000,58018.27,58038.22,58009.36,58038.2
1617940980000,58038.21,58038.21,58021.72,58031.58
1617941040000,58031.58,58031.59,58021.7,58027.01
1617941100000,58027.0,58027.01,58009.37,58009.39
1617941160000,58009.38,58022.8,58009.37,58009.37
1617941220000,58009.37,58015.0,58009.37,58012.83
1617941280000,58010.18,58077.26,58009.37,58067.8
1617941340000,58067.8,58078.22,58046.08,58077.96
1617941400000,58077.95,58077.96,58030.44,58030.64
